ALVARO OBREGON,17,2,5/2/2013
AZCAPOTZALCO,47,4,5/2/2013
AZCAPOTZALCO,36,3,5/2/2013
AZCAPOTZALCO,19,3,5/2/2013
BENITO JUAREZ,10,6,5/2/2013
BENITO JUAREZ,51,5,5/2/2013
BENITO JUAREZ,12,4,5/2/2013
BENITO JUAREZ,45,2,5/2/2013
COYOACAN,20,10,5/2/2013
COYOACAN,49,3,5/2/2013
CUAJIMALPA DE MORELOS,44,4,5/2/2013
CUAUHTEMOC,0,18,5/2/2013
CUAUHTEMOC,7,4,5/2/2013
CUAUHTEMOC,6,1,5/2/2013
GUSTAVO A. MADERO,50,6,5/2/2013
GUSTAVO A. MADERO,23,2,5/2/2013
GUSTAVO A. MADERO,13,2,5/2/2013
GUSTAVO A. MADERO,22,2,5/2/2013
IZTACALCO,24,4,5/2/2013
IZTACALCO,34,2,5/2/2013
IZTAPALAPA,26,11,5/2/2013
IZTAPALAPA,25,8,5/2/2013
IZTAPALAPA,40,5,5/2/2013
IZTAPALAPA,48,4,5/2/2013
MAGDALENA CONTRERAS,27,8,5/2/2013
MIGUEL HIDALGO,11,3,5/2/2013
MIGUEL HIDALGO,16,2,5/2/2013
MIGUEL HIDALGO,9,1,5/2/2013
TLAHUAC,29,1,5/2/2013
TLALPAN,35,7,5/2/2013
TLALPAN,31,3,5/2/2013
TLALPAN,30,3,5/2/2013
VENUSTIANO CARRANZA,2,2,5/2/2013
XOCHIMILCO,32,15,5/2/2013
ALVARO OBREGON,38,9,5/3/2013
ALVARO OBREGON,18,4,5/3/2013
ALVARO OBREGON,17,2,5/3/2013
ALVARO OBREGON,46,1,5/3/2013
BENITO JUAREZ,51,13,5/3/2013
BENITO JUAREZ,45,5,5/3/2013
BENITO JUAREZ,10,1,5/3/2013
COYOACAN,20,13,5/3/2013
COYOACAN,37,6,5/3/2013
CUAJIMALPA DE MORELOS,44,3,5/3/2013
CUAJIMALPA DE MORELOS,21,2,5/3/2013
CUAUHTEMOC,0,9,5/3/2013
CUAUHTEMOC,1,3,5/3/2013
CUAUHTEMOC,7,3,5/3/2013
GUSTAVO A. MADERO,13,6,5/3/2013
GUSTAVO A. MADERO,33,5,5/3/2013
IZTACALCO,34,3,5/3/2013
IZTAPALAPA,40,8,5/3/2013
IZTAPALAPA,26,3,5/3/2013
IZTAPALAPA,25,1,5/3/2013
MIGUEL HIDALGO,11,5,5/3/2013
MIGUEL HIDALGO,43,4,5/3/2013
MIGUEL HIDALGO,9,4,5/3/2013
MIGUEL HIDALGO,42,2,5/3/2013
MIGUEL HIDALGO,41,2,5/3/2013
MIGUEL HIDALGO,16,1,5/3/2013
MILPA ALTA,28,8,5/3/2013
TLAHUAC,4,3,5/3/2013
TLAHUAC,29,1,5/3/2013
TLALPAN,35,8,5/3/2013
TLALPAN,31,2,5/3/2013
TLALPAN,30,2,5/3/2013
VENUSTIANO CARRANZA,2,7,5/3/2013
ALVARO OBREGON,38,5,5/4/2013
ALVARO OBREGON,17,3,5/4/2013
AZCAPOTZALCO,36,1,5/4/2013
AZCAPOTZALCO,19,1,5/4/2013
BENITO JUAREZ,10,4,5/4/2013
BENITO JUAREZ,45,3,5/4/2013
COYOACAN,20,11,5/4/2013
COYOACAN,37,5,5/4/2013
CUAJIMALPA DE MORELOS,21,3,5/4/2013
CUAUHTEMOC,0,3,5/4/2013
CUAUHTEMOC,1,3,5/4/2013
CUAUHTEMOC,6,1,5/4/2013
CUAUHTEMOC,14,1,5/4/2013
GUSTAVO A. MADERO,23,8,5/4/2013
GUSTAVO A. MADERO,22,7,5/4/2013
GUSTAVO A. MADERO,50,4,5/4/2013
GUSTAVO A. MADERO,33,2,5/4/2013
GUSTAVO A. MADERO,13,2,5/4/2013
IZTACALCO,24,3,5/4/2013
IZTAPALAPA,25,6,5/4/2013
IZTAPALAPA,26,6,5/4/2013
IZTAPALAPA,48,1,5/4/2013
MAGDALENA CONTRERAS,27,1,5/4/2013
MIGUEL HIDALGO,9,5,5/4/2013
MIGUEL HIDALGO,16,4,5/4/2013
MILPA ALTA,28,1,5/4/2013
TLAHUAC,29,5,5/4/2013
TLALPAN,35,7,5/4/2013
TLALPAN,30,5,5/4/2013
TLALPAN,31,2,5/4/2013
TLALPAN,5,1,5/4/2013
VENUSTIANO CARRANZA,2,3,5/4/2013
XOCHIMILCO,32,5,5/4/2013
TLAHUAC,29,1,5/5/2013
TLALPAN,31,1,5/5/2013
AZCAPOTZALCO,19,1,5/6/2013
BENITO JUAREZ,45,3,5/6/2013
BENITO JUAREZ,51,2,5/6/2013
BENITO JUAREZ,10,1,5/6/2013
CUAUHTEMOC,6,1,5/6/2013
CUAUHTEMOC,1,1,5/6/2013
CUAUHTEMOC,7,1,5/6/2013
GUSTAVO A. MADERO,13,1,5/6/2013
IZTACALCO,34,3,5/6/2013
IZTAPALAPA,26,2,5/6/2013
MIGUEL HIDALGO,16,3,5/6/2013
MIGUEL HIDALGO,11,2,5/6/2013
TLALPAN,31,1,5/6/2013
VENUSTIANO CARRANZA,2,5,5/6/2013
XOCHIMILCO,32,2,5/6/2013
ALVARO OBREGON,17,1,5/7/2013
AZCAPOTZALCO,19,2,5/7/2013
BENITO JUAREZ,10,6,5/7/2013
BENITO JUAREZ,51,3,5/7/2013
BENITO JUAREZ,45,1,5/7/2013
CUAJIMALPA DE MORELOS,21,3,5/7/2013
GUSTAVO A. MADERO,13,3,5/7/2013
GUSTAVO A. MADERO,23,2,5/7/2013
GUSTAVO A. MADERO,50,1,5/7/2013
GUSTAVO A. MADERO,33,1,5/7/2013
GUSTAVO A. MADERO,22,1,5/7/2013
IZTACALCO,34,2,5/7/2013
IZTAPALAPA,48,4,5/7/2013
IZTAPALAPA,25,2,5/7/2013
IZTAPALAPA,26,2,5/7/2013
IZTAPALAPA,40,1,5/7/2013
MIGUEL HIDALGO,9,4,5/7/2013
TLALPAN,31,3,5/7/2013
VENUSTIANO CARRANZA,2,3,5/7/2013
VENUSTIANO CARRANZA,3,1,5/7/2013
ALVARO OBREGON,17,2,5/8/2013
AZCAPOTZALCO,47,3,5/8/2013
AZCAPOTZALCO,19,1,5/8/2013
BENITO JUAREZ,10,10,5/8/2013
COYOACAN,20,13,5/8/2013
COYOACAN,37,2,5/8/2013
CUAJIMALPA DE MORELOS,21,4,5/8/2013
CUAJIMALPA DE MORELOS,44,2,5/8/2013
CUAUHTEMOC,1,3,5/8/2013
CUAUHTEMOC,6,2,5/8/2013
GUSTAVO A. MADERO,33,8,5/8/2013
GUSTAVO A. MADERO,13,4,5/8/2013
GUSTAVO A. MADERO,23,3,5/8/2013
IZTACALCO,24,6,5/8/2013
IZTACALCO,34,2,5/8/2013
IZTAPALAPA,25,8,5/8/2013
IZTAPALAPA,26,2,5/8/2013
IZTAPALAPA,40,1,5/8/2013
MIGUEL HIDALGO,16,2,5/8/2013
MIGUEL HIDALGO,11,2,5/8/2013
MIGUEL HIDALGO,41,1,5/8/2013
TLAHUAC,4,9,5/8/2013
TLAHUAC,29,5,5/8/2013
TLALPAN,30,4,5/8/2013
TLALPAN,35,3,5/8/2013
TLALPAN,31,3,5/8/2013
VENUSTIANO CARRANZA,3,4,5/8/2013
VENUSTIANO CARRANZA,2,3,5/8/2013
XOCHIMILCO,32,7,5/8/2013
ALVARO OBREGON,17,5,5/9/2013
AZCAPOTZALCO,47,5,5/9/2013
AZCAPOTZALCO,36,4,5/9/2013
AZCAPOTZALCO,19,4,5/9/2013
BENITO JUAREZ,51,6,5/9/2013
BENITO JUAREZ,12,4,5/9/2013
BENITO JUAREZ,45,2,5/9/2013
BENITO JUAREZ,10,2,5/9/2013
COYOACAN,20,12,5/9/2013
CUAJIMALPA DE MORELOS,21,4,5/9/2013
CUAJIMALPA DE MORELOS,44,3,5/9/2013
CUAUHTEMOC,0,4,5/9/2013
CUAUHTEMOC,1,3,5/9/2013
CUAUHTEMOC,14,2,5/9/2013
CUAUHTEMOC,7,2,5/9/2013
GUSTAVO A. MADERO,50,6,5/9/2013
GUSTAVO A. MADERO,13,5,5/9/2013
GUSTAVO A. MADERO,23,3,5/9/2013
GUSTAVO A. MADERO,22,2,5/9/2013
GUSTAVO A. MADERO,33,1,5/9/2013
IZTACALCO,24,3,5/9/2013
IZTACALCO,34,3,5/9/2013
IZTAPALAPA,26,10,5/9/2013
IZTAPALAPA,25,9,5/9/2013
IZTAPALAPA,48,4,5/9/2013
